0.1	0.132
0.2	0.141
0.3	0.151
0.4	0.16
0.5	0.168
0.6	0.177
0.7	0.186
0.8	0.195
0.9	0.204
1	0.212
1.1	0.221
1.2	0.229
1.3	0.238
1.4	0.246
1.5	0.254
1.6	0.263
1.7	0.271
1.8	0.279
1.9	0.287
2	0.295
2.1	0.302
2.2	0.31
2.3	0.318
2.4	0.325
2.5	0.333
2.6	0.34
2.7	0.348
2.8	0.355
2.9	0.362
3	0.369
3.1	0.376
3.2	0.383
3.3	0.39
3.4	0.397
3.5	0.404
3.6	0.41
3.7	0.417
3.8	0.423
3.9	0.429
4	0.436
4.1	0.442
4.2	0.448
4.3	0.454
4.4	0.46
4.5	0.466
4.6	0.471
4.7	0.477
4.8	0.482
4.9	0.488
5	0.493
5.1	0.498
5.2	0.503
5.3	0.508
5.4	0.513
5.5	0.518
5.6	0.523
5.7	0.528
5.8	0.532
5.9	0.536
6	0.541
6.1	0.545
6.2	0.549
6.3	0.553
6.4	0.557
6.5	0.561
6.6	0.564
6.7	0.568
6.8	0.572
6.9	0.575
7	0.578
7.1	0.581
7.2	0.584
7.3	0.587
7.4	0.59
7.5	0.593
7.6	0.595
7.7	0.598
7.8	0.6
7.9	0.602
8	0.604
8.1	0.606
8.2	0.608
8.3	0.61
8.4	0.612
8.5	0.613
8.6	0.614
8.7	0.616
8.8	0.617
8.9	0.618
9	0.619
9.1	0.62
9.2	0.62
9.3	0.621
9.4	0.621
9.5	0.621
9.6	0.622
9.7	0.622
9.8	0.621
9.9	0.621
10	0.621
