0.1	0.118
0.2	0.13
0.3	0.141
0.4	0.152
0.5	0.163
0.6	0.174
0.7	0.184
0.8	0.195
0.9	0.205
1	0.216
1.1	0.226
1.2	0.235
1.3	0.245
1.4	0.255
1.5	0.264
1.6	0.274
1.7	0.283
1.8	0.292
1.9	0.3
2	0.309
2.1	0.318
2.2	0.326
2.3	0.334
2.4	0.342
2.5	0.35
2.6	0.358
2.7	0.366
2.8	0.373
2.9	0.381
3	0.388
3.1	0.395
3.2	0.402
3.3	0.409
3.4	0.415
3.5	0.422
3.6	0.428
3.7	0.435
3.8	0.441
3.9	0.447
4	0.453
4.1	0.458
4.2	0.464
4.3	0.469
4.4	0.474
4.5	0.48
4.6	0.485
4.7	0.489
4.8	0.494
4.9	0.499
5	0.503
5.1	0.508
5.2	0.512
5.3	0.516
5.4	0.52
5.5	0.524
5.6	0.527
5.7	0.531
5.8	0.534
5.9	0.538
